[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.2113
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.2472
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.2181
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.2068
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.2418
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.2282
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.2149
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.2020
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.2058
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.2258
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.1608
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.1645
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.1301
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.1413
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.1392
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.1566
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.1181
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.1902
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.1820
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.1488
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.0795
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.1021
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.0840
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.0742
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.1077
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.1459
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.0771
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.1016
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.1427
[TRAIN] Device: cpu | Epochs: 1 | Avg Loss: 2.0812
